region	race	age	gender	sat	unsat
1	w	1	m	288	177
1	w	1	f	60	57
1	w	2	m	224	166
1	w	2	f	35	19
1	w	3	m	337	172
1	w	3	f	70	30
1	o	1	m	38	33
1	o	1	f	19	35
1	o	2	m	32	11
1	o	2	f	22	20
1	o	3	m	21	8
1	o	3	f	15	10
2	w	1	m	90	45
2	w	1	f	19	12
2	w	2	m	96	42
2	w	2	f	12	5
2	w	3	m	124	39
2	w	3	f	17	2
2	o	1	m	18	6
2	o	1	f	13	7
2	o	2	m	7	2
2	o	2	f	0	3
2	o	3	m	9	2
2	o	3	f	1	1
3	w	1	m	226	128
3	w	1	f	88	57
3	w	2	m	189	117
3	w	2	f	44	34
3	w	3	m	156	73
3	w	3	f	70	25
3	o	1	m	45	31
3	o	1	f	47	35
3	o	2	m	18	3
3	o	2	f	13	7
3	o	3	m	11	2
3	o	3	f	9	2
4	w	1	m	285	179
4	w	1	f	110	93
4	w	2	m	225	141
4	w	2	f	53	24
4	w	3	m	324	140
4	w	3	f	60	47
4	o	1	m	40	25
4	o	1	f	66	56
4	o	2	m	19	11
4	o	2	f	25	19
4	o	3	m	22	2
4	o	3	f	11	12
5	w	1	m	270	180
5	w	1	f	176	151
5	w	2	m	215	108
5	w	2	f	80	40
5	w	3	m	269	136
5	w	3	f	110	40
5	o	1	m	36	20
5	o	1	f	25	16
5	o	2	m	9	7
5	o	2	f	11	5
5	o	3	m	16	3
5	o	3	f	4	5
6	w	1	m	252	126
6	w	1	f	97	61
6	w	2	m	162	72
6	w	2	f	47	27
6	w	3	m	199	93
6	w	3	f	62	24
6	o	1	m	69	27
6	o	1	f	45	36
6	o	2	m	14	7
6	o	2	f	8	4
6	o	3	m	14	5
6	o	3	f	2	0
7	w	1	m	119	58
7	w	1	f	62	33
7	w	2	m	66	20
7	w	2	f	20	10
7	w	3	m	67	21
7	w	3	f	25	10
7	o	1	m	45	16
7	o	1	f	22	15
7	o	2	m	15	10
7	o	2	f	10	8
7	o	3	m	8	6
7	o	3	f	6	2
